54.221.39.173,301,host,api.duolingo.com,nginx/1.10.3 (Ubuntu)
34.206.97.22,301,host,api.duolingo.com,nginx/1.10.3 (Ubuntu)
34.194.249.93,301,host,api.duolingo.com,nginx/1.10.3 (Ubuntu)
54.237.80.173,301,host,api.duolingo.com,nginx/1.10.3 (Ubuntu)
54.209.183.192,301,host,ar.duolingo.com,duo-api
54.225.111.61,301,host,ar.duolingo.com,duo-api
34.237.57.93,301,host,ar.duolingo.com,duo-api
54.210.249.12,301,host,ar.duolingo.com,duo-api
54.89.23.229,301,host,ar.duolingo.com,duo-api
52.201.100.33,301,host,ar.duolingo.com,duo-api
3.224.232.161,301,host,ar.duolingo.com,duo-api
34.194.227.229,301,host,ar.duolingo.com,duo-api
54.87.153.5,502,host,athena.duolingo.com,
54.210.12.143,502,host,athena.duolingo.com,
10.0.124.221,,host,auth.duolingo.com,
10.0.83.70,,host,auth.duolingo.com,
10.0.54.28,,host,auth.duolingo.com,
104.18.129.189,301,alias,blog.duolingo.com,cloudflare
104.18.129.189,301,host,duolingo.ghost.io,cloudflare
104.18.131.189,301,host,duolingo.ghost.io,cloudflare
104.18.130.189,301,host,duolingo.ghost.io,cloudflare
104.18.132.189,301,host,duolingo.ghost.io,cloudflare
104.18.128.189,301,host,duolingo.ghost.io,cloudflare
54.165.40.136,,host,cloud.duolingo.com,
54.165.40.136,,host,keynote.duolingo.com,
104.236.80.62,,host,map.duolingo.com,
184.72.124.184,,host,mom.duolingo.com,
34.192.201.228,,host,monitoring.duolingo.com,
54.84.187.35,,host,monitoring.duolingo.com,
54.210.249.12,301,host,pl.duolingo.com,duo-api
54.89.23.229,301,host,pl.duolingo.com,duo-api
54.225.111.61,301,host,pl.duolingo.com,duo-api
34.194.227.229,301,host,pl.duolingo.com,duo-api
52.70.34.7,301,host,pl.duolingo.com,duo-api
34.237.57.93,301,host,pl.duolingo.com,duo-api
18.213.121.197,301,host,pl.duolingo.com,duo-api
34.193.49.156,301,host,pl.duolingo.com,duo-api
54.209.183.192,301,host,pt.duolingo.com,duo-api
3.224.232.161,301,host,pt.duolingo.com,duo-api
54.225.111.61,301,host,pt.duolingo.com,duo-api
3.94.217.247,301,host,pt.duolingo.com,duo-api
52.70.34.7,301,host,pt.duolingo.com,duo-api
54.89.23.229,301,host,pt.duolingo.com,duo-api
34.237.57.93,301,host,pt.duolingo.com,duo-api
34.194.227.229,301,host,pt.duolingo.com,duo-api
185.199.111.153,301,alias,research.duolingo.com,GitHub.com
185.199.111.153,301,host,duolingo.github.io,GitHub.com
185.199.110.153,301,host,duolingo.github.io,GitHub.com
185.199.108.153,301,host,duolingo.github.io,GitHub.com
185.199.109.153,301,host,duolingo.github.io,GitHub.com
54.89.23.229,301,host,ro.duolingo.com,duo-api
34.194.227.229,301,host,ro.duolingo.com,duo-api
54.225.111.61,301,host,ro.duolingo.com,duo-api
54.209.183.192,301,host,ro.duolingo.com,duo-api
52.70.34.7,301,host,ro.duolingo.com,duo-api
34.237.57.93,301,host,ro.duolingo.com,duo-api
3.224.232.161,301,host,ro.duolingo.com,duo-api
3.94.217.247,301,host,ro.duolingo.com,duo-api
3.224.232.161,301,host,ru.duolingo.com,duo-api
3.94.217.247,301,host,ru.duolingo.com,duo-api
52.201.100.33,301,host,ru.duolingo.com,duo-api
34.193.49.156,301,host,ru.duolingo.com,duo-api
54.89.23.229,301,host,ru.duolingo.com,duo-api
18.213.121.197,301,host,ru.duolingo.com,duo-api
54.225.111.61,301,host,ru.duolingo.com,duo-api
54.210.249.12,301,host,ru.duolingo.com,duo-api
54.165.40.136,404,host,sc.duolingo.com,nginx/1.4.6 (Ubuntu)
13.35.55.108,404,alias,static.duolingo.com,nginx/1.4.6 (Ubuntu)
13.35.55.108,404,host,d7mj4aqfscim2.cloudfront.net,nginx/1.4.6 (Ubuntu)
13.35.55.201,404,host,d7mj4aqfscim2.cloudfront.net,nginx/1.4.6 (Ubuntu)
13.35.55.166,404,host,d7mj4aqfscim2.cloudfront.net,nginx/1.4.6 (Ubuntu)
13.35.55.105,404,host,d7mj4aqfscim2.cloudfront.net,nginx/1.4.6 (Ubuntu)
104.16.51.111,301,alias,support.duolingo.com,cloudflare
104.16.51.111,301,alias,duolingotest.ssl.zendesk.com,cloudflare
104.16.51.111,301,host,duolingotest.zendesk.com,cloudflare
104.16.53.111,301,host,duolingotest.zendesk.com,cloudflare
54.165.40.136,,host,t.duolingo.com,
34.193.49.156,301,host,th.duolingo.com,duo-api
34.237.57.93,301,host,th.duolingo.com,duo-api
3.94.217.247,301,host,th.duolingo.com,duo-api
54.209.183.192,301,host,th.duolingo.com,duo-api
52.201.100.33,301,host,th.duolingo.com,duo-api
3.224.232.161,301,host,th.duolingo.com,duo-api
54.210.249.12,301,host,th.duolingo.com,duo-api
54.89.23.229,301,host,th.duolingo.com,duo-api
54.210.249.12,301,host,tr.duolingo.com,duo-api
3.94.217.247,301,host,tr.duolingo.com,duo-api
52.70.34.7,301,host,tr.duolingo.com,duo-api
34.193.49.156,301,host,tr.duolingo.com,duo-api
34.237.57.93,301,host,tr.duolingo.com,duo-api
18.213.121.197,301,host,tr.duolingo.com,duo-api
34.194.227.229,301,host,tr.duolingo.com,duo-api
54.89.23.229,301,host,tr.duolingo.com,duo-api
34.193.49.156,301,host,uk.duolingo.com,duo-api
3.224.232.161,301,host,uk.duolingo.com,duo-api
52.70.34.7,301,host,uk.duolingo.com,duo-api
54.210.249.12,301,host,uk.duolingo.com,duo-api
34.237.57.93,301,host,uk.duolingo.com,duo-api
18.213.121.197,301,host,uk.duolingo.com,duo-api
3.94.217.247,301,host,uk.duolingo.com,duo-api
52.201.100.33,301,host,uk.duolingo.com,duo-api
34.194.227.229,301,host,vi.duolingo.com,duo-api
34.193.49.156,301,host,vi.duolingo.com,duo-api
18.213.121.197,301,host,vi.duolingo.com,duo-api
54.89.23.229,301,host,vi.duolingo.com,duo-api
54.210.249.12,301,host,vi.duolingo.com,duo-api
52.70.34.7,301,host,vi.duolingo.com,duo-api
34.237.57.93,301,host,vi.duolingo.com,duo-api
3.94.217.247,301,host,vi.duolingo.com,duo-api
204.194.30.164,,host,video.duolingo.com,
3.224.232.161,301,host,www.duolingo.com,duo-api
54.225.111.61,301,host,www.duolingo.com,duo-api
54.209.183.192,301,host,www.duolingo.com,duo-api
34.194.227.229,301,host,www.duolingo.com,duo-api
34.193.49.156,301,host,www.duolingo.com,duo-api
54.210.249.12,301,host,www.duolingo.com,duo-api
52.70.34.7,301,host,www.duolingo.com,duo-api
18.213.121.197,301,host,www.duolingo.com,duo-api
